Territory,gpt-4o,Claude_Sonnet_3_5,llama3.1_70,Turn_Number,Game_Round
Alaska,1,0,0,43,15
Northwest Territory,1,0,0,43,15
Greenland,48,0,0,43,15
Alberta,1,0,0,43,15
Ontario,1,0,0,43,15
Quebec,1,0,0,43,15
Western United States,1,0,0,43,15
Eastern United States,43,0,0,43,15
Central America,1,0,0,43,15
Venezuela,6,0,0,43,15
Peru,1,0,0,43,15
Brazil,1,0,0,43,15
Argentina,6,0,0,43,15
North Africa,0,1,0,43,15
Egypt,0,1,0,43,15
East Africa,0,1,0,43,15
Congo,0,1,0,43,15
South Africa,0,1,0,43,15
Madagascar,1,0,0,43,15
Western Europe,0,4,0,43,15
Southern Europe,0,5,0,43,15
Northern Europe,0,1,0,43,15
Great Britain,0,1,0,43,15
Iceland,1,0,0,43,15
Scandinavia,0,1,0,43,15
Ukraine,0,48,0,43,15
Afghanistan,0,1,0,43,15
Ural,0,0,7,43,15
Siberia,0,0,1,43,15
Yakutsk,2,0,0,43,15
Kamchatka,1,0,0,43,15
Irkutsk,0,0,1,43,15
Mongolia,0,0,1,43,15
Japan,0,0,1,43,15
China,0,0,1,43,15
India,0,1,0,43,15
Siam,0,1,0,43,15
Indonesia,0,1,0,43,15
New Guinea,0,1,0,43,15
Western Australia,1,0,0,43,15
Eastern Australia,0,1,0,43,15
Middle East,0,1,0,43,15
