Territory,llama3.1_70,gpt-4o,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,0,0,1,8,3
Northwest Territory,0,1,0,8,3
Greenland,0,18,0,8,3
Alberta,0,1,0,8,3
Ontario,0,1,0,8,3
Quebec,0,1,0,8,3
Western United States,0,1,0,8,3
Eastern United States,0,1,0,8,3
Central America,0,1,0,8,3
Venezuela,1,0,0,8,3
Peru,1,0,0,8,3
Brazil,0,0,1,8,3
Argentina,0,0,1,8,3
North Africa,1,0,0,8,3
Egypt,1,0,0,8,3
East Africa,1,0,0,8,3
Congo,0,0,1,8,3
South Africa,1,0,0,8,3
Madagascar,1,0,0,8,3
Western Europe,1,0,0,8,3
Southern Europe,1,0,0,8,3
Northern Europe,0,0,1,8,3
Great Britain,0,0,1,8,3
Iceland,0,1,0,8,3
Scandinavia,0,0,1,8,3
Ukraine,1,0,0,8,3
Afghanistan,1,0,0,8,3
Ural,1,0,0,8,3
Siberia,4,0,0,8,3
Yakutsk,1,0,0,8,3
Kamchatka,1,0,0,8,3
Irkutsk,1,0,0,8,3
Mongolia,1,0,0,8,3
Japan,3,0,0,8,3
China,1,0,0,8,3
India,0,0,1,8,3
Siam,1,0,0,8,3
Indonesia,0,1,0,8,3
New Guinea,0,0,1,8,3
Western Australia,1,0,0,8,3
Eastern Australia,0,0,1,8,3
Middle East,3,0,0,8,3
