Territory,Player_Player 1,Player_Player 2,Player_Player 4,Turn_Number,Game_Round
Alaska,1,0,0,4,2
Northwest Territory,0,1,0,4,2
Greenland,0,1,0,4,2
Alberta,0,1,0,4,2
Ontario,0,1,0,4,2
Quebec,0,2,0,4,2
Western United States,0,3,0,4,2
Eastern United States,0,10,0,4,2
Central America,1,0,0,4,2
Venezuela,1,0,0,4,2
Peru,3,0,0,4,2
Brazil,2,0,0,4,2
Argentina,1,0,0,4,2
North Africa,1,0,0,4,2
Egypt,10,0,0,4,2
East Africa,1,0,0,4,2
Congo,1,0,0,4,2
South Africa,1,0,0,4,2
Madagascar,0,1,0,4,2
Western Europe,1,0,0,4,2
Southern Europe,1,0,0,4,2
Northern Europe,1,0,0,4,2
Great Britain,0,1,0,4,2
Iceland,0,1,0,4,2
Scandinavia,1,0,0,4,2
Ukraine,1,0,0,4,2
Afghanistan,0,0,1,4,2
Ural,1,0,0,4,2
Siberia,1,0,0,4,2
Yakutsk,1,0,0,4,2
Kamchatka,1,0,0,4,2
Irkutsk,1,0,0,4,2
Mongolia,1,0,0,4,2
Japan,2,0,0,4,2
China,1,0,0,4,2
India,0,1,0,4,2
Siam,0,1,0,4,2
Indonesia,0,1,0,4,2
New Guinea,0,1,0,4,2
Western Australia,0,1,0,4,2
Eastern Australia,0,1,0,4,2
Middle East,1,0,0,4,2
