Territory,Player_Player 1,Player_Player 2,Player_Player 4
Alaska,1,0,0
Northwest Territory,1,0,0
Greenland,1,0,0
Alberta,0,1,0
Ontario,0,0,22
Quebec,1,0,0
Western United States,0,1,0
Eastern United States,0,22,0
Central America,0,1,0
Venezuela,0,1,0
Peru,0,1,0
Brazil,0,0,1
Argentina,1,0,0
North Africa,22,0,0
Egypt,1,0,0
East Africa,1,0,0
Congo,0,0,1
South Africa,0,0,1
Madagascar,0,1,0
Western Europe,0,0,1
Southern Europe,0,0,1
Northern Europe,0,0,1
Great Britain,1,0,0
Iceland,0,0,1
Scandinavia,1,0,0
Ukraine,0,0,1
Afghanistan,0,0,1
Ural,0,0,1
Siberia,1,0,0
Yakutsk,0,0,1
Kamchatka,0,0,1
Irkutsk,0,0,1
Mongolia,1,0,0
Japan,0,1,0
China,1,0,0
India,0,1,0
Siam,0,1,0
Indonesia,0,1,0
New Guinea,0,1,0
Western Australia,0,1,0
Eastern Australia,0,1,0
Middle East,1,0,0
